Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100uF","CP_Elec_10x10.5",70.000000,-187.000000,90.000000,top
"C2","100nF","C_0805_2012Metric",80.000000,-186.950000,90.000000,top
"D1","Red LED","LED_0805_2012Metric",69.500000,-176.250000,90.000000,top
"D2","Red LED","LED_0805_2012Metric",289.182478,-194.273833,90.000000,top
"D3","Red LED","LED_0805_2012Metric",154.641842,-194.754075,90.000000,top
"D4","Red LED","LED_0805_2012Metric",280.184931,-194.273833,90.000000,top
"D5","Red LED","LED_0805_2012Metric",145.662500,-194.750000,90.000000,top
"D6","Red LED","LED_0805_2012Metric",136.664954,-194.750000,90.000000,top
"D7","Red LED","LED_0805_2012Metric",127.667407,-194.750000,90.000000,top
"D8","Red LED","LED_0805_2012Metric",118.638067,-194.750000,90.000000,top
"D9","Red LED","LED_0805_2012Metric",109.640521,-194.750000,90.000000,top
"D10","Red LED","LED_0805_2012Metric",100.573679,-194.765490,90.000000,top
"D11","Red LED","LED_0805_2012Metric",91.573680,-194.764404,90.000000,top
"D12","Red LED","LED_0805_2012Metric",298.180024,-194.273833,90.000000,top
"D13","Red LED","LED_0805_2012Metric",271.155591,-194.273833,90.000000,top
"D14","Red LED","LED_0805_2012Metric",307.159366,-194.277908,90.000000,top
"D15","Red LED","LED_0805_2012Metric",244.091204,-194.288237,90.000000,top
"D16","Red LED","LED_0805_2012Metric",253.091203,-194.289323,90.000000,top
"D17","Red LED","LED_0805_2012Metric",262.158045,-194.273833,90.000000,top
"D18","Red LED","LED_0805_2012Metric",220.841274,-47.235595,90.000000,top
"D19","Red LED","LED_0805_2012Metric",211.843727,-47.235595,90.000000,top
"D20","Red LED","LED_0805_2012Metric",229.838820,-47.235595,90.000000,top
"D21","Red LED","LED_0805_2012Metric",202.814387,-47.235596,90.000000,top
"D22","Red LED","LED_0805_2012Metric",238.818162,-47.239670,90.000000,top
"D23","Red LED","LED_0805_2012Metric",175.750000,-47.250000,90.000000,top
"D24","Red LED","LED_0805_2012Metric",184.749999,-47.251086,90.000000,top
"D25","Red LED","LED_0805_2012Metric",193.816841,-47.235596,90.000000,top
"D26","Red LED","LED_0805_2012Metric",166.000000,-47.250000,90.000000,top
"D27","Red LED","LED_0805_2012Metric",72.751071,-132.130535,180.000000,top
"D28","Red LED","LED_0805_2012Metric",89.499894,-143.362895,180.000000,top
"D29","Red LED","LED_0805_2012Metric",89.301071,-118.193035,180.000000,top
"D30","Red LED","LED_0805_2012Metric",107.044362,-132.119580,180.000000,top
"D31","Red LED","LED_0805_2012Metric",123.793185,-143.351940,180.000000,top
"D32","Red LED","LED_0805_2012Metric",123.594362,-118.182080,180.000000,top
"D33","Red LED","LED_0805_2012Metric",141.374199,-132.104034,180.000000,top
"D34","Red LED","LED_0805_2012Metric",158.123022,-143.336394,180.000000,top
"D35","Red LED","LED_0805_2012Metric",157.924199,-118.166534,180.000000,top
"D36","Red LED","LED_0805_2012Metric",175.661335,-132.125985,180.000000,top
"D37","Red LED","LED_0805_2012Metric",192.410158,-143.358345,180.000000,top
"D38","Red LED","LED_0805_2012Metric",192.211335,-118.188485,180.000000,top
"D39","Red LED","LED_0805_2012Metric",210.062415,-132.124039,180.000000,top
"D40","Red LED","LED_0805_2012Metric",226.811238,-143.356399,180.000000,top
"D41","Red LED","LED_0805_2012Metric",226.612415,-118.186539,180.000000,top
"D42","Red LED","LED_0805_2012Metric",244.315399,-132.101264,180.000000,top
"D43","Red LED","LED_0805_2012Metric",261.064222,-143.333624,180.000000,top
"D44","Red LED","LED_0805_2012Metric",260.865399,-118.163764,180.000000,top
"D45","Red LED","LED_0805_2012Metric",278.685389,-132.071633,180.000000,top
"D46","Red LED","LED_0805_2012Metric",295.434212,-143.303993,180.000000,top
"D47","Red LED","LED_0805_2012Metric",295.235389,-118.134133,180.000000,top
"D48","Red LED","LED_0805_2012Metric",312.935389,-132.071633,180.000000,top
"D49","Red LED","LED_0805_2012Metric",329.684212,-143.303993,180.000000,top
"D50","Red LED","LED_0805_2012Metric",329.485389,-118.134133,180.000000,top
"D51","Red LED","LED_0805_2012Metric",127.751071,-89.630535,180.000000,top
"D52","Red LED","LED_0805_2012Metric",162.051071,-89.755535,180.000000,top
"D53","Red LED","LED_0805_2012Metric",196.488571,-89.693035,180.000000,top
"D54","Red LED","LED_0805_2012Metric",230.851071,-89.674285,180.000000,top
"D55","Red LED","LED_0805_2012Metric",265.251071,-89.655535,180.000000,top
"D56","Red LED","LED_0805_2012Metric",299.488571,-89.693035,180.000000,top
"D57","Red LED","LED_0805_2012Metric",333.738571,-89.693035,180.000000,top
"D58","Red LED","LED_0805_2012Metric",93.501071,-89.630535,180.000000,top
"J1","Conn_01x02_Pin","BarrelJack_Kycon_KLDX-0202-xC_Horizontal",73.700000,-201.750000,0.000000,top
"Q1","NPN Transistor","SOT-23",292.682478,-196.211333,180.000000,top
"Q2","NPN Transistor","SOT-23",158.141842,-196.691575,180.000000,top
"Q3","NPN Transistor","SOT-23",283.684931,-196.211333,180.000000,top
"Q4","NPN Transistor","SOT-23",149.162500,-196.687500,180.000000,top
"Q5","NPN Transistor","SOT-23",140.164954,-196.687500,180.000000,top
"Q6","NPN Transistor","SOT-23",131.167407,-196.687500,180.000000,top
"Q7","NPN Transistor","SOT-23",122.138067,-196.687500,180.000000,top
"Q8","NPN Transistor","SOT-23",113.140521,-196.687500,180.000000,top
"Q9","NPN Transistor","SOT-23",104.073679,-196.702990,180.000000,top
"Q10","NPN Transistor","SOT-23",95.073680,-196.701904,180.000000,top
"Q11","NPN Transistor","SOT-23",301.680024,-196.211333,180.000000,top
"Q12","NPN Transistor","SOT-23",274.655591,-196.211333,180.000000,top
"Q13","NPN Transistor","SOT-23",310.659366,-196.215408,180.000000,top
"Q14","NPN Transistor","SOT-23",247.591204,-196.225737,180.000000,top
"Q15","NPN Transistor","SOT-23",256.591203,-196.226823,180.000000,top
"Q16","NPN Transistor","SOT-23",265.658045,-196.211333,180.000000,top
"Q17","NPN Transistor","SOT-23",224.341274,-49.173095,180.000000,top
"Q18","NPN Transistor","SOT-23",215.343727,-49.173095,180.000000,top
"Q19","NPN Transistor","SOT-23",233.338820,-49.173095,180.000000,top
"Q20","NPN Transistor","SOT-23",206.314387,-49.173096,180.000000,top
"Q21","NPN Transistor","SOT-23",242.318162,-49.177170,180.000000,top
"Q22","NPN Transistor","SOT-23",179.250000,-49.187500,180.000000,top
"Q23","NPN Transistor","SOT-23",188.249999,-49.188586,180.000000,top
"Q24","NPN Transistor","SOT-23",197.316841,-49.173096,180.000000,top
"Q25","NPN Transistor","SOT-23",73.488571,-151.630535,90.000000,top
"Q26","NPN Transistor","SOT-23",78.988571,-151.630535,90.000000,top
"Q27","NPN Transistor","SOT-23",73.488571,-142.130535,90.000000,top
"Q28","NPN Transistor","SOT-23",73.488571,-147.130535,90.000000,top
"Q29","NPN Transistor","SOT-23",78.988571,-147.130535,90.000000,top
"Q30","NPN Transistor","SOT-23",78.988571,-142.193035,90.000000,top
"Q31","NPN Transistor","SOT-23",89.609884,-154.767626,90.000000,top
"Q32","NPN Transistor","SOT-23",94.234884,-154.767626,90.000000,top
"Q33","NPN Transistor","SOT-23",94.359884,-150.267626,90.000000,top
"Q34","NPN Transistor","SOT-23",73.488571,-111.380535,90.000000,top
"Q35","NPN Transistor","SOT-23",78.988571,-111.380535,90.000000,top
"Q36","NPN Transistor","SOT-23",73.488571,-101.880535,90.000000,top
"Q37","NPN Transistor","SOT-23",73.488571,-106.880535,90.000000,top
"Q38","NPN Transistor","SOT-23",78.988571,-106.880535,90.000000,top
"Q39","NPN Transistor","SOT-23",78.988571,-101.943035,90.000000,top
"Q40","NPN Transistor","SOT-23",89.238571,-129.630535,90.000000,top
"Q41","NPN Transistor","SOT-23",93.863571,-129.630535,90.000000,top
"Q42","NPN Transistor","SOT-23",93.988571,-125.130535,90.000000,top
"Q43","NPN Transistor","SOT-23",94.099545,-103.419561,90.000000,top
"Q44","NPN Transistor","SOT-23",88.099545,-103.357061,90.000000,top
"Q45","NPN Transistor","SOT-23",94.099545,-98.482061,90.000000,top
"Q46","NPN Transistor","SOT-23",107.781862,-151.619580,90.000000,top
"Q47","NPN Transistor","SOT-23",113.281862,-151.619580,90.000000,top
"Q48","NPN Transistor","SOT-23",107.781862,-142.119580,90.000000,top
"Q49","NPN Transistor","SOT-23",107.781862,-147.119580,90.000000,top
"Q50","NPN Transistor","SOT-23",113.281862,-147.119580,90.000000,top
"Q51","NPN Transistor","SOT-23",113.281862,-142.182080,90.000000,top
"Q52","NPN Transistor","SOT-23",123.903175,-154.756671,90.000000,top
"Q53","NPN Transistor","SOT-23",128.528175,-154.756671,90.000000,top
"Q54","NPN Transistor","SOT-23",128.653175,-150.256671,90.000000,top
"Q55","NPN Transistor","SOT-23",107.781862,-111.369580,90.000000,top
"Q56","NPN Transistor","SOT-23",113.281862,-111.369580,90.000000,top
"Q57","NPN Transistor","SOT-23",107.781862,-101.869580,90.000000,top
"Q58","NPN Transistor","SOT-23",107.781862,-106.869580,90.000000,top
"Q59","NPN Transistor","SOT-23",113.281862,-106.869580,90.000000,top
"Q60","NPN Transistor","SOT-23",113.281862,-101.932080,90.000000,top
"Q61","NPN Transistor","SOT-23",123.531862,-129.619580,90.000000,top
"Q62","NPN Transistor","SOT-23",128.156862,-129.619580,90.000000,top
"Q63","NPN Transistor","SOT-23",128.281862,-125.119580,90.000000,top
"Q64","NPN Transistor","SOT-23",128.392836,-103.408606,90.000000,top
"Q65","NPN Transistor","SOT-23",122.392836,-103.346106,90.000000,top
"Q66","NPN Transistor","SOT-23",128.392836,-98.471106,90.000000,top
"Q67","NPN Transistor","SOT-23",142.111699,-151.604034,90.000000,top
"Q68","NPN Transistor","SOT-23",147.611699,-151.604034,90.000000,top
"Q69","NPN Transistor","SOT-23",142.111699,-142.104034,90.000000,top
"Q70","NPN Transistor","SOT-23",142.111699,-147.104034,90.000000,top
"Q71","NPN Transistor","SOT-23",147.611699,-147.104034,90.000000,top
"Q72","NPN Transistor","SOT-23",147.611699,-142.166534,90.000000,top
"Q73","NPN Transistor","SOT-23",158.233012,-154.741125,90.000000,top
"Q74","NPN Transistor","SOT-23",162.858012,-154.741125,90.000000,top
"Q75","NPN Transistor","SOT-23",162.983012,-150.241125,90.000000,top
"Q76","NPN Transistor","SOT-23",142.111699,-111.354034,90.000000,top
"Q77","NPN Transistor","SOT-23",147.611699,-111.354034,90.000000,top
"Q78","NPN Transistor","SOT-23",142.111699,-101.854034,90.000000,top
"Q79","NPN Transistor","SOT-23",142.111699,-106.854034,90.000000,top
"Q80","NPN Transistor","SOT-23",147.611699,-106.854034,90.000000,top
"Q81","NPN Transistor","SOT-23",147.611699,-101.916534,90.000000,top
"Q82","NPN Transistor","SOT-23",157.861699,-129.604034,90.000000,top
"Q83","NPN Transistor","SOT-23",162.486699,-129.604034,90.000000,top
"Q84","NPN Transistor","SOT-23",162.611699,-125.104034,90.000000,top
"Q85","NPN Transistor","SOT-23",162.722673,-103.393060,90.000000,top
"Q86","NPN Transistor","SOT-23",156.722673,-103.330560,90.000000,top
"Q87","NPN Transistor","SOT-23",162.722673,-98.455560,90.000000,top
"Q88","NPN Transistor","SOT-23",176.398835,-151.625985,90.000000,top
"Q89","NPN Transistor","SOT-23",181.898835,-151.625985,90.000000,top
"Q90","NPN Transistor","SOT-23",176.398835,-142.125985,90.000000,top
"Q91","NPN Transistor","SOT-23",176.398835,-147.125985,90.000000,top
"Q92","NPN Transistor","SOT-23",181.898835,-147.125985,90.000000,top
"Q93","NPN Transistor","SOT-23",181.898835,-142.188485,90.000000,top
"Q94","NPN Transistor","SOT-23",192.520148,-154.763076,90.000000,top
"Q95","NPN Transistor","SOT-23",197.145148,-154.763076,90.000000,top
"Q96","NPN Transistor","SOT-23",197.270148,-150.263076,90.000000,top
"Q97","NPN Transistor","SOT-23",176.398835,-111.375985,90.000000,top
"Q98","NPN Transistor","SOT-23",181.898835,-111.375985,90.000000,top
"Q99","NPN Transistor","SOT-23",176.398835,-101.875985,90.000000,top
"Q100","NPN Transistor","SOT-23",176.398835,-106.875985,90.000000,top
"Q101","NPN Transistor","SOT-23",181.898835,-106.875985,90.000000,top
"Q102","NPN Transistor","SOT-23",181.898835,-101.938485,90.000000,top
"Q103","NPN Transistor","SOT-23",192.148835,-129.625985,90.000000,top
"Q104","NPN Transistor","SOT-23",196.773835,-129.625985,90.000000,top
"Q105","NPN Transistor","SOT-23",196.898835,-125.125985,90.000000,top
"Q106","NPN Transistor","SOT-23",197.009809,-103.415011,90.000000,top
"Q107","NPN Transistor","SOT-23",191.009809,-103.352511,90.000000,top
"Q108","NPN Transistor","SOT-23",197.009809,-98.477511,90.000000,top
"Q109","NPN Transistor","SOT-23",210.799915,-151.624039,90.000000,top
"Q110","NPN Transistor","SOT-23",216.299915,-151.624039,90.000000,top
"Q111","NPN Transistor","SOT-23",210.799915,-142.124039,90.000000,top
"Q112","NPN Transistor","SOT-23",210.799915,-147.124039,90.000000,top
"Q113","NPN Transistor","SOT-23",216.299915,-147.124039,90.000000,top
"Q114","NPN Transistor","SOT-23",216.299915,-142.186539,90.000000,top
"Q115","NPN Transistor","SOT-23",226.921228,-154.761130,90.000000,top
"Q116","NPN Transistor","SOT-23",231.546228,-154.761130,90.000000,top
"Q117","NPN Transistor","SOT-23",231.671228,-150.261130,90.000000,top
"Q118","NPN Transistor","SOT-23",210.799915,-111.374039,90.000000,top
